gift	christmas	0.6000882181318737	3.9259259105971376
image	crisp	0.5305459437629629	3.286267414988178
image	sharp	0.6474394409819592	3.1039458581942236
clarity	clear	0.5918055203734784	2.9143249989186577
clarity	detail	0.6260711753999813	2.9608450145535503
clarity	crisp	0.7706727195080598	4.395929539842873
clear	detail	0.4517652160636987	2.17238765418928
clear	picture	0.6086778203299306	0.9974023867365966
clear	crisp	0.6961957684401016	3.607472179478603
clear	sharp	0.590856582245964	3.607472179478603
detail	crisp	0.613856237803946	3.6539921951134957
detail	sharp	0.6191925989751781	3.6539921951134957
crisp	sharp	0.7584988983528569	5.089076720402819

aa	aaa	0.9273704705186121	2.471257148773821
aa	rechargeable	0.9327158140231442	1.3469725050515842
aa	nimh	0.5995371313030871	1.6796059653656314
aa	alkaline	0.5808332421407578	0.21820717821278698
aa	eneloop	0.5443660475253639	1.3613612425036838
aa	pack	0.7398707181868822	1.1167114859685106
aa	lithium	0.8094004497540842	1.618906220535226
aa	energizer	0.6641168567386789	1.3613612425036838
aa	mah	0.623374482036529	1.5277914319610038
aa	duracell	0.644151148848629	0.8949873813085272
aa	spare	0.6865338950849731	0.05420420194251728
aaa	rechargeable	0.9478399524138638	0.9024568820715468
aaa	charge	0.5965641240684872	0.018099197300400965
aaa	nimh	0.6276659048331492	0.6850440054663223
aaa	eneloop	0.5725484988957357	1.3223107276318107
aaa	lithium	0.8858477868440466	1.2152125920754435
aaa	energizer	0.7438314516319399	1.1399891708378562
aaa	mah	0.6766940140611156	1.2523521390249004
aaa	duracell	0.6735577850787984	1.3667624902026447
rechargeable	nimh	0.5443154760169963	1.991444457365447
rechargeable	alkaline	0.5127396691593622	1.4592398069226653
rechargeable	eneloop	0.46244295358876375	2.1767260557878783
rechargeable	pack	0.7955481410318831	1.1256004333857565
rechargeable	life	0.6359815148026602	0.10821358464023279
rechargeable	lithium	0.8175457989319456	0.9991865085300979
rechargeable	energizer	0.6611122857383335	0.9239630872925102
rechargeable	mah	0.5874920756858183	0.4485393905774357
rechargeable	rechargable	0.8441797714487984	0.37057784910772384
rechargeable	duracell	0.5872964366048965	1.6615620304232894
rechargeable	spare	0.7398440700818596	0.5330967786054986
charge	pack	0.6025026483002269	0.24124274861461067
charge	life	0.6284047663304377	0.23545681154756687
charge	mah	0.17514901710364927	0.12379749374171234
charge	rechargable	0.47937016328650506	0.402510896210733
charge	duracell	0.19849438755935356	0.08405716509219842
nimh	alkaline	0.9879576034578814	1.5295090027692215
nimh	eneloop	0.9742187211618646	2.315988123121386
nimh	pack	0.2809860145145978	1.0905091135744867
nimh	life	0.029285149789303744	0.2962658161431726
nimh	lithium	0.8429421109959172	0.7817736319248731
nimh	mah	0.9542119482648648	2.022885983200266
nimh	rechargable	0.7690360635257409	0.8463121530624444
nimh	duracell	0.9611018026921649	1.444149153818065
alkaline	eneloop	0.9708336245736219	1.2504849930605553
alkaline	life	0.014400805751535461	0.43473549040827775
alkaline	lithium	0.7951490605523329	2.1730062746853465
alkaline	energizer	0.8224704602676145	1.4046356728878138
alkaline	rechargable	0.7685192308805158	0.003952574315823342
alkaline	duracell	0.9501390917810364	1.7004018637395535
alkaline	spare	0.3293567558769941	0.8596186843735437
eneloop	pack	0.24490587670454023	2.4209230162999202
eneloop	lithium	0.8055959943704201	1.0135752459821974
eneloop	energizer	0.8568566274629483	0.93835182474461
eneloop	mah	0.9432380988040913	0.8683932361376996
eneloop	rechargable	0.7518300778145269	2.1767260557878783
eneloop	duracell	0.9705035808785771	2.081415875983554
pack	lithium	0.6398478190037817	0.9920690407612339
pack	energizer	0.5083832741147726	1.609992800083592
pack	rechargable	0.6462909733336025	1.8675377781151339
pack	duracell	0.3486644384979801	1.3667624902026447
life	lithium	0.3223873526376557	0.6032908514380843
life	rechargable	0.4165268659027497	1.0732944806838198
lithium	energizer	0.923070309072145	2.910695230868079
lithium	rechargable	0.8926814930452007	0.46019000779741087
energizer	duracell	0.892046829461203	2.0814158759835535
rechargable	duracell	0.8512127718279907	1.528030637798767

cord	adapter	0.47861203978471467	2.4665844076622547
cord	short	0.6074614574827912	2.0247516553832154
cord	plug	0.6350816813152588	2.766689000112593
cord	long	0.38251593126138084	0.9917366492009192
longer	short	0.6959896450364669	1.3316044748232703
longer	long	0.7158306257564211	0.29858946864097385
adapter	plug	0.695266359403302	2.8148911019304705
short	long	0.74555949966232	1.1858926636418767

nikon	kodak	0.6620864223480969	1.3297388026403207

night	morning	0.6896776241961686	4.811444983804539

high	low	0.6597626613016903	1.815712710250548
high	higher	0.6618367108974994	1.400197266288882
low	level	0.6571692747033141	2.4135497110061683
low	lower	0.6811127523158463	2.1723876541892806
low	higher	0.6319885477700362	2.2857163394962834
level	higher	0.5026315424381458	2.6911814476044476

super	quick	0.6002428072222709	3.3006561524402778
super	fast	0.5821679167851965	1.9035508752161718
super	easy	0.49039999203448703	1.480323310768167
quick	simple	0.6279230994808317	1.0781137671197687
quick	easy	0.5513694332079855	0.909778452300554
fast	simple	0.3179144205154154	1.878233067231882
fast	easy	0.30295290720742396	0.6112854637445575
simple	easy	0.8352503315075462	1.0495403946757127

weight	heavy	0.6589546725376524	2.30406547816448

eye	bright	0.6787332488331387	2.9143249989186577
display	bright	0.5925064143862936	2.9656182933062083

size	bigger	0.649842132304123	2.8963064934159792

bulky	travel	0.7387591605172884	3.019685514576484

cell	smart	0.622070207561281	2.1767260557878783

warm	hot	0.750132218372706	4.05945730322166

timer	function	0.6209326491966687	2.7627751007914565
feature	function	0.6537492570902326	2.316487998163037

electronic	equipment	0.5165350130092937	3.52882905215949

tripod	camera	0.6445439558887333	0.14202040794943394
camera	shot	0.595286477468269	0.8633384654760754

bino	steady	0.8675004022288217	3.4404180948154366

small	compact	0.686535080553073	0.9507152727639434
small	lightweight	0.5271749465126107	2.4288171831369567
compact	lightweight	0.7471918414081207	3.086246281094823

mouse	keyboard	0.7562241008870825	4.801394647951037

